State10,PUMA10,GEOID10,GISJOIN10,State10_Name,PUMA10_Name,State20,PUMA20,GEOID20,GISJOIN20,State20_Name,PUMA20_Name,Region,PUMA10_Pop10,PUMA20_Pop10,Part_Pop10,pPUMA10_Pop10,pPUMA20_Pop10,PUMA10_Pop20,PUMA20_Pop20,Part_Pop20,pPUMA10_Pop20,pPUMA20_Pop20,PUMA10_Land,PUMA20_Land,Part_Land,pPUMA10_Land,pPUMA20_Land
08,00600,0800600,G08000600,Colorado,"Fremont, Chaffee, Park, Lake, Huerfano, Pueblo (Southwest) & Custer Counties",08,02001,0802001,G08002001,Colorado,El Paso Teller,3,103776,91352,17,0.02,0.02,109402,110610,11,0.01,0.01,20021017870,5953186421,127840,0,0
08,00700,0800700,G08000700,Colorado,Pueblo County (North)--Pueblo City & Pueblo West,08,02001,0802001,G08002001,Colorado,El Paso Teller,3,150830,91352,0,0,0,160087,110610,0,0,0,3299639434,5953186421,64945,0,0
08,00822,0800822,G08000822,Colorado,Douglas County (South)--Castle Rock Town,08,02001,0802001,G08002001,Colorado,El Paso Teller,3,102075,91352,0,0,0,130888,110610,0,0,0,1713842637,5953186421,93625,0.01,0
08,04101,0804101,G08004101,Colorado,El Paso (Outside Colorado Springs City) & Teller Counties--Fountain City,08,02001,0802001,G08002001,Colorado,El Paso Teller,3,111548,91352,90829,81.43,99.43,141822,110610,110084,77.62,99.52,6010002369,5953186421,5949555768,98.99,99.94
08,04102,0804102,G08004102,Colorado,El Paso County (West Central)--Colorado Springs City (West),08,02001,0802001,G08002001,Colorado,El Paso Teller,3,107035,91352,505,0.47,0.55,112850,110610,515,0.46,0.47,140103581,5953186421,3334472,2.38,0.06
08,04106,0804106,G08004106,Colorado,El Paso County (North Central)--Colorado Springs City (North) & Monument Town,08,02001,0802001,G08002001,Colorado,El Paso Teller,3,106480,91352,0,0,0,150097,110610,0,0,0,529678136,5953186421,9771,0,0
08,04101,0804101,G08004101,Colorado,El Paso (Outside Colorado Springs City) & Teller Counties--Fountain City,08,02002,0802002,G08002002,Colorado,North El Paso,3,111548,106480,0,0,0,141822,150097,0,0,0,6010002369,529708558,40193,0,0.01
08,04106,0804106,G08004106,Colorado,El Paso County (North Central)--Colorado Springs City (North) & Monument Town,08,02002,0802002,G08002002,Colorado,North El Paso,3,106480,106480,106480,100,100,150097,150097,150097,100,100,529678136,529708558,529668365,100,99.99
08,04102,0804102,G08004102,Colorado,El Paso County (West Central)--Colorado Springs City (West),08,02003,0802003,G08002003,Colorado,West Colorado Springs,3,107035,106530,106530,99.53,100,112850,112335,112335,99.54,100,140103581,136892375,136769109,97.62,99.91
08,04103,0804103,G08004103,Colorado,El Paso County (Central)--Colorado Springs City (Central),08,02003,0802003,G08002003,Colorado,West Colorado Springs,3,102746,106530,0,0,0,108434,112335,0,0,0,77611630,136892375,123266,0.16,0.09
