"YEAR","REGION","OWNERSHP","VACANCY","vac","vac_se","vac_moe"
"2012","1","Owned or being bought (loan)","Occupied",92229,3662.253730035648,6024.407385908641
"2012","1","Rented","Occupied",39344,2794.1071489589863,4596.306260037532
"2012","1","Vacant","Other vacant",4058,971.6584000815637,1598.3780681341723
"2012","1","Vacant","Rented or sold but not (yet) occupied",332,293.8723024496497,483.41993752967375
"2012","2","Vacant","For migrant farm workers",176,130.17438674658302,214.13686619812907
"2012","2","Vacant","For rent or sale",9033,1394.671306307077,2294.2342988751416
"2012","2","Vacant","For sale only",4145,968.1264089586159,1592.5679427369232
"2012","2","Vacant","For seasonal, recreational or other occasional use",59605,3377.5911179084533,5556.137388959406
"2012","2","Owned or being bought (loan)","Occupied",90791,3711.3606519575674,6105.188272470198
"2012","2","Rented","Occupied",38146,2732.5964761276114,4495.121203229921
"2012","2","Vacant","Other vacant",6320,1075.7244733135137,1769.56675860073
"2012","2","Vacant","Rented or sold but not (yet) occupied",2813,778.451929225876,1280.553423576566
"2012","3","Vacant","For migrant farm workers",589,394.1121796527591,648.3145355287887
"2012","3","Vacant","For rent or sale",29275,2642.592109011339,4347.064019323652
"2012","3","Vacant","For sale only",14969,1969.25902023408,3239.431088285062
"2012","3","Vacant","For seasonal, recreational or other occasional use",26485,2521.313876605822,4147.561327016577
"2012","3","Owned or being bought (loan)","Occupied",1043305,9399.336177036974,15461.908011225822
"2012","3","Rented","Occupied",613394,9638.050263172967,15854.59268291953
"2012","3","Vacant","Other vacant",24948,2313.7289875315823,3806.084184489453
"2012","3","Vacant","Rented or sold but not (yet) occupied",12203,1671.1211737105873,2748.994330753916
"2012","4","Vacant","For migrant farm workers",42,41.99999999999977,69.08999999999962
"2012","4","Vacant","For rent or sale",2463,636.1329804754995,1046.4387528821967
"2012","4","Vacant","For sale only",1309,371.2281750658148,610.6703479832654
"2012","4","Vacant","For seasonal, recreational or other occasional use",7030,820.8912986570747,1350.366186290888
"2012","4","Owned or being bought (loan)","Occupied",54254,2233.9606021443847,3674.865190527513
"2012","4","Rented","Occupied",24626,1806.6930630236452,2972.0100886738965
"2012","4","Vacant","Other vacant",8298,1017.045386165984,1673.0396602430437
"2012","4","Vacant","Rented or sold but not (yet) occupied",538,224.00730578530906,368.4920180168334
"2013","1","Vacant","For migrant farm workers",122,122.00000000000028,200.69000000000048
"2013","1","Vacant","For rent or sale",5301,1102.243460464792,1813.1904924645828
"2013","1","Vacant","For sale only",2297,678.3661969277426,1115.9123939461367
"2013","1","Vacant","For seasonal, recreational or other occasional use",14197,1709.912380442226,2812.8058658274617
"2013","1","Owned or being bought (loan)","Occupied",87701,3657.8571276725525,6017.1749750213485
"2013","1","Rented","Occupied",40355,2877.144671006856,4732.902983806278
"2013","1","Vacant","Other vacant",4058,1016.1924957468661,1671.6366555035947
"2013","1","Vacant","Rented or sold but not (yet) occupied",474,274.9679377082613,452.3222575300898
"2013","2","Vacant","For rent or sale",5713,1156.2041982692444,1901.9559061529071
"2013","2","Vacant","For sale only",4545,967.1522266490796,1590.965412837736
"2013","2","Vacant","For seasonal, recreational or other occasional use",70717,3739.0809188670414,6150.788111536283
"2013","2","Owned or being bought (loan)","Occupied",85255,3565.830620532755,5865.791370776382
"2013","2","Rented","Occupied",35975,2544.716883029215,4186.059272583058
"2013","2","Vacant","Other vacant",8539,1183.5559952810972,1946.949612237405
"2013","2","Vacant","Rented or sold but not (yet) occupied",1118,432.59762879281305,711.6230993641775
"2013","3","Vacant","For rent or sale",26922,2613.675612157935,4299.496381999803
"2013","3","Vacant","For sale only",10388,1573.9156407499192,2589.0912290336173
"2013","3","Vacant","For seasonal, recreational or other occasional use",23727,2336.115337586204,3842.9097303293056
"2013","3","Owned or being bought (loan)","Occupied",1070831,9322.043323454782,15334.761267083117
"2013","3","Rented","Occupied",603837,9608.938833626013,15806.70438131479
"2013","3","Vacant","Other vacant",31563,2728.511408125671,4488.401266366729
"2013","3","Vacant","Rented or sold but not (yet) occupied",14752,2030.2053396112656,3339.6877836605317
"2013","4","Vacant","For migrant farm workers",125,125.00000000000026,205.62500000000043
"2013","4","Vacant","For rent or sale",2539,673.4287815208831,1107.7903456018528
"2013","4","Vacant","For sale only",1240,438.8623365127106,721.928543563409
"2013","4","Vacant","For seasonal, recreational or other occasional use",6638,835.5826457966699,1374.533452335522
"2013","4","Owned or being bought (loan)","Occupied",53791,2277.2849013059254,3746.133662648247
"2013","4","Rented","Occupied",25049,1903.3438799697487,3131.000682550237
"2013","4","Vacant","Other vacant",8638,1181.409284901474,1943.4182736629245
"2013","4","Vacant","Rented or sold but not (yet) occupied",884,358.53165392642046,589.7845707089616
"2014","1","Vacant","For migrant farm workers",682,366.04842903178803,602.1496657572914
"2014","1","Vacant","For rent or sale",3773,906.2282671614621,1490.745499480605
"2014","1","Vacant","For sale only",2742,780.2156313736326,1283.4547136096257
"2014","1","Vacant","For seasonal, recreational or other occasional use",11245,1418.3920731417784,2333.2549603182256
"2014","1","Owned or being bought (loan)","Occupied",89472,3620.082957735448,5955.036465474812
"2014","1","Rented","Occupied",44168,2961.0326593794402,4870.898724679179
"2014","1","Vacant","Other vacant",4015,859.7681475113287,1414.3186026561357
"2014","1","Vacant","Rented or sold but not (yet) occupied",108,83.00476043734585,136.54283091943392
"2014","2","Vacant","For migrant farm workers",208,147.62471581624848,242.84265751772875
"2014","2","Vacant","For rent or sale",5468,1087.3234986278192,1788.6471552427624
"2014","2","Vacant","For sale only",2954,718.4617695226592,1181.8696108647744
"2014","2","Vacant","For seasonal, recreational or other occasional use",71501,3684.539499748298,6061.0674770859505
"2014","2","Owned or being bought (loan)","Occupied",88164,3644.4966898481953,5995.197054800281
"2014","2","Rented","Occupied",34180,2556.8096607179255,4205.951891880987
"2014","2","Vacant","Other vacant",9830,1430.9433154162482,2353.901753859728
"2014","2","Vacant","Rented or sold but not (yet) occupied",1170,511.2233779086139,840.9624566596699
"2014","3","Vacant","For migrant farm workers",378,260.41640132318406,428.3849801766378
"2014","3","Vacant","For rent or sale",26805,2622.4723110346126,4313.966951651938
"2014","3","Vacant","For sale only",11553,1640.3717309534184,2698.411497418373
"2014","3","Vacant","For seasonal, recreational or other occasional use",19544,2024.2023274444089,3329.812828646053
"2014","3","Owned or being bought (loan)","Occupied",1075848,9301.211597709249,15300.493078231715
"2014","3","Rented","Occupied",630100,9967.910755273426,16397.213192424784
"2014","3","Vacant","Other vacant",29091,2582.359809226139,4247.981886176999
